id,score,verdict,practice_size_guess,remote_signal,title,company,location,source,date_posted,url,reasons,description
fa10f1178367,100,qualified,unknown,explicit-remote,Patient Care Coordinator,Ovadia Heart Health,"Remote, US",indeed,2026-07-09,https://www.indeed.com/viewjob?jk=588d92977de3f8fb,+20 virtual; +15 prior authorization; +15 ehr,"**About the Role** We're looking for a highly organized, proactive **Patient Care Coordinator** to become the operational backbone of our growing virtual practice. In this role, you'll ensure every patient receives an exceptional experience by coordinating the behind\-the\-scenes details that keep care moving seamlessly. From ordering labs and securing prior authorizations to scheduling appointments and supporting our clinical team, you'll play a vital role in ensuring nothing falls through the cracks. You'll work closely with our Practice Manager and collaborate with a small, high\-performing"
5fe3838bc0d2,100,qualified,billing-company,explicit-remote,EPIC Software Cardiology Insurance Claims Specialist,ADVANCED BILLING CONSULTANTS,"CA, US",indeed,2026-07-10,https://www.indeed.com/viewjob?jk=7751e241b9f8faf9,+20 work from home; +15 claims; +15 epic; +10 billing service,"Company Overview Advanced Billing Consultants is a privately owned California\-based medical billing service provider dedicated to supporting physicians across the region. Our passion is your success! We empower medical practices to achieve consistent and reliable revenue, enabling growth through expanded locations and additional practitioners. With longstanding industry relationships, we are experts in navigating insurance processes and coding standards. Job Overview We are seeking an energetic and detail\-oriented EPIC Software Cardiology Insurance Claims Specialist to join our dynamic team."
e953d7cc0c8d,95,qualified,billing-company,explicit-remote,DME Intake Specialist,MedBill,"Remote, US",indeed,2026-07-09,https://www.indeed.com/viewjob?jk=7f36c7fe703f0d0b,+20 work from home; +15 billing; +10 billing company,"**Medbill: The Preferred DME Billing Resource! Join our team today!!** Medbill is a Durable Medical Equipment (DME) billing company. We work diligently on DME billing issues for our clients. We are looking for full\-time **Intake Specialists** to do the same. Most of our employees work from homes all across the United States. Would you love to have the opportunity to work inches from your kitchen? If you have a great work ethic, can be successful, accountable, and proactive in the comfort of your own residence read on to see if Medbill is for you! At Medbill, we expect results and in return yo"
9e4e48a42693,95,qualified,billing-company,explicit-remote,DME Patient Care Specialist,MedBill,"Remote, US",indeed,2026-07-10,https://www.indeed.com/viewjob?jk=2e97fece32860045,+20 work from home; +15 billing; +10 billing company,"**Medbill: The Preferred DME Billing Resource! Join our team today!!** Medbill is a Durable Medical Equipment (DME) billing company. We work diligently on DME billing issues for our clients. We are looking for full\-time **Patient Care** **Specialists** to do the same. Most of our employees work from homes all across the United States. Would you love to have the opportunity to work inches from your kitchen? If you have a great work ethic, can be successful, accountable, and proactive in the comfort of your own residence read on to see if Medbill is for you! At Medbill, we expect results and in"
5327dac842f7,95,qualified,billing-company,explicit-remote,DME Accounts Receivable Specialist,MedBill,"Remote, US",indeed,2026-07-09,https://www.indeed.com/viewjob?jk=1c1d8d820433f68f,+20 work from home; +15 billing; +10 billing company,"**Medbill: The Preferred DME Billing Resource! Join our team today!!** Medbill is a Durable Medical Equipment (DME) billing company. We work diligently on DME billing issues for our clients. We are looking for a full\-time AR Specialist to do the same. Most of our employees work from homes all across the United States. Would you love to have the opportunity to work inches from your kitchen? If you have a great work ethic, can be successful, accountable, and proactive in the comfort of your own residence read on to see if Medbill is for you! At Medbill, we expect results and in return you will "
f76001eef3be,95,qualified,billing-company,explicit-remote,Remote Medical Billing Specialist- Part Time Contract,Sloan Medical LLC,US,indeed,2026-07-09,https://www.indeed.com/viewjob?jk=a08ee868ca6ff34c,+20 remote; +15 billing; +10 family practice,"**Must have experience with eClinical Works \& Family Practice**. Sloan Medical LLC is a rapidly growing revenue cycle management company seeking qualified candidates with at least 1 year experience and a strong background in a family medicine environment. Applicants must be proficient in using ICD\-10, HPCS and CPT codes. Excel and Word proficiency is a must. Applicants must be able to commit to a set amount of time each day and be comfortable with multiple state regulations including Medicare LCD’s and facility specific guidelines. \*Note: This is an independent contractor position however t"
433c5d4accd1,95,qualified,solo-small,explicit-remote,Billing and Reimbursement Customer Service Representative,Clarity Clinic,USA,jobicy,2026-07-07,https://jobicy.com/jobs/148934-billing-and-reimbursement-customer-service-representative,+20 remote; +15 billing; +10 clinic,"About Clarity Clinic, PLLC Clarity Clinic is an interdisciplinary private practice bringing together Psychiatrists, Advanced Practice Providers (PAs, NPs), Psychologists, and Therapists. Our mission is to guide the whole person toward clarity and mental wellness through exceptional, holistic care. We offer a broad range of specialties and treatment approaches — including medication management, psychological assessment, and psychotherapy — to support people wherever they are in life. Through this multidisciplinary model, we're redefining what accessible, comprehensive mental health care looks l"
ce933e701977,85,qualified,unknown,explicit-remote,"Care Coordinator, Referrals (Marlton, NJ)",Ennoble Care,"Marlton, NJ, US",indeed,2026-07-09,https://www.indeed.com/viewjob?jk=48f90c3ddc32f83b,+20 remote; +15 referrals,"**About Us** Ennoble Care is a mobile primary care, palliative care, and hospice service provider with patients in New York, New Jersey, Maryland, DC, Virginia, Oklahoma, Kansas, Pennsylvania, Texas, Florida, and Georgia. Ennoble Care's clinicians go to the home of the patient, providing continuum of care for those with chronic conditions and limited mobility. Ennoble Care offers a variety of programs including, remote patient monitoring, behavioral health management, and chronic care management, to ensure that our patients receive the highest quality of care by a team they know and trust. We "
52c30dab0a51,85,qualified,unknown,explicit-remote,"Care Coordinator, Medical Documentation (Marlton, NJ)",Ennoble Care,"Marlton, NJ, US",indeed,2026-07-09,https://www.indeed.com/viewjob?jk=d6878d79f83da0a3,+20 remote; +15 medical records,"**About Us** Ennoble Care is a mobile primary care, palliative care, and hospice service provider with patients in New York, New Jersey, Maryland, DC, Virginia, Oklahoma, Kansas, Pennsylvania, Texas, Florida, and Georgia. Ennoble Care's clinicians go to the home of the patient, providing continuum of care for those with chronic conditions and limited mobility. Ennoble Care offers a variety of programs including, remote patient monitoring, behavioral health management, and chronic care management, to ensure that our patients receive the highest quality of care by a team they know and trust. We "
77deb8258586,85,qualified,unknown,explicit-remote,"Care Coordinator, Durable Medical Equipment (Marlton, NJ)",Ennoble Care,"Marlton, NJ, US",indeed,2026-07-09,https://www.indeed.com/viewjob?jk=1d4a899de187e376,+20 remote; +15 medical records,"**About Us** Ennoble Care is a mobile primary care, palliative care, and hospice service provider with patients in New York, New Jersey, Maryland, DC, Virginia, Oklahoma, Kansas, Pennsylvania, Texas, Florida, and Georgia. Ennoble Care's clinicians go to the home of the patient, providing continuum of care for those with chronic conditions and limited mobility. Ennoble Care offers a variety of programs including, remote patient monitoring, behavioral health management, and chronic care management, to ensure that our patients receive the highest quality of care by a team they know and trust. We "
